DR,PROCESS_ID,PART_ID,LOT_ID,LOTTYPE,QTY,HOLD_FLAG,FLOORID,GRADE,COMPLETE_RATE,LOT_PURPOSE,DUE_DATE,WIPTURN,ROOM,PROCESS_GROUP,STEP_ID,LAYER_TITLE,LAYER_GROUP,BLOCK_GROUP,PRE_STEPGBN2,EQPTYPE,MOVE_0,EQP_WORKLOAD_0,MOVE_1,EQP_WORKLOAD_1,MOVE_2,EQP_WORKLOAD_2,BATCH,Q_E,Q_P,L_E,L_P,Q_H,Q_R,Q_W,L_H,L_R,L_W,Q_2,Q_3,Q_4,Q_5,Q_7,Q_8,Q_10,L_2,L_3,L_4,L_5,L_7,L_8,L_10,WIP_WAITTIME,WIP_PRODUCT_NUM,SHIFT_TYPE,PROCESSTIME,PRC_WAIT_MIN,PRC_WAIT_MAX,PRC_WAIT_MEDIAN,PRC_WAIT_STD,WAITTIME
N4,RQ,5E9925G01,3B5G1,PP,25,Y,S3-D,2,0.24,1,136,5.57,ET,SI_TJRG_KIYO-FX,VH138811,RG,LG32,PU3,SI ADI CD,EFEPLY,9720,305,16240,301.2,21500,314.8,,66,491,15,25,385,97,75,30,5,5,,,427,130,,,,0,0,32,8,0,0,0,10180.02,9,WG,221.98,2.17,28957.43,228.01,3693.16,1029.02
N4,RQ,5E9925G01,3C861,PP,15,Y,S3-B,,0.06,1,136,6.93,ET,SI_FIN_KIYO-EXP,VH035700,FM,LG12,PU1,DBO,EFEPLY,60204,333.1,45816,327.7,37124,323.4,,189,499,19,24,225,226,237,18,11,14,,35,474,160,19,,,0,3,25,13,2,0,0,372.02,14,WG,47.52,1.47,5391.88,31.23,729.53,1258.48
N4,RQ,5E9925G01,3B7T1,PP,24,Y,S3-B,2,0.28,1,136,5.26,ET,SI_CTHM_KIYO-FX,VH167010,CT,LG33,PU3,SI ADI CD,EFEPLY,18500,181.3,15580,181.3,10660,182.5,,87,183,8,10,95,78,97,7,4,7,,51,119,81,19,,,0,3,9,5,1,0,0,129.52,9,WG,142.28,0.37,8693.68,20.15,420.77,141.72
N4,RQ,5E9925G01,3C761,PP,25,Y,S3-B,2,0.06,1,136,6.93,ET,SI_FIN_KIYO-EXP,VH035700,FM,LG12,PU1,DBO,EFEPLY,60204,333.1,45816,327.7,37124,323.4,,189,499,19,24,225,226,237,18,11,14,,35,474,160,19,,,0,3,25,13,2,0,0,372.02,14,WG,61.07,1.47,5391.88,31.23,729.53,1359.93
N3,ZP,5VP03MZ01,ZM751,EB,25,Y,S3-E,1,0.17,1,,,ET,SI_TJ_KIYO-GX,NU096300,TK,LG32,PU3,SI ADI CD,EFEPLY,15240,181.9,14520,174.9,7500,173.9,,405,122,44,7,337,80,110,40,5,6,,527,,,,,,0,51,0,0,0,0,0,10093.02,9,WO,190.48,2.85,24869.47,161.78,1776.1,117.52
N3,C5,FC1978X01,3A6K1,PT,25,Y,S3-E,2,0.18,1,132,5.73,ET,SI_TJ_KIYO-GX,CA131002,RG,LG32,PU3,DBO,EFEPLY,15240,181.9,14520,174.9,7500,173.9,,405,122,44,7,337,80,110,40,5,6,,527,,,,,,0,51,0,0,0,0,0,10093.02,9,WO,308.08,2.85,5603.42,213.62,901.68,180.92
N5,CT,FK05T2X04,3C621,PP,25,Y,S3,,0.2,1,127,5.74,ET,SI_GHM_KIYO-EXP_MRT,KB067811,PT,LG31,PU3,KRF_HIGH,EFEPLY,12688,155.5,10075,163.4,7332,161.8,,372,323,32,16,235,175,285,19,9,20,,121,52,343,35,144,,0,8,4,22,2,12,0,3262.53,18,WO,130.43,2,4916.02,16.48,395.01,206.57
N8,QJ,FN08T9XA2,39VY1,PP,23,Y,S3-E,2,0.39,1,,,ET,HK_SOHEB_SYM3,NV336430,PU,LG41,PU4,SI ADI CD,EFEPLY,6720,79.8,10795,88.6,6140,90.7,,127,238,13,14,66,184,115,7,9,11,,146,135,48,,36,,0,15,7,2,0,3,0,303.03,10,WO,170.92,1.65,6184.48,14.75,405.5,477.08
N3,C5,FC1978X01,3APF1,PT,25,Y,S3-E,,0.18,1,132,5.73,ET,SI_TJ_KIYO-GX,CA131002,RG,LG32,PU3,SI ADI CD,EFEPLY,12320,164.4,15240,181.9,14520,174.9,,418,197,43,10,387,127,101,42,6,5,,615,,,,,,0,53,0,0,0,0,0,7450.02,9,WO,309.68,2.85,5603.42,213.62,901.68,622.32
N3,C5,FC1978X01,3A0WA1,PT,4,Y,S3,,0.39,1,45,12.56,ET,HK_HM_KIYO-FX,CA296600,MR,LG42,PU4,SI ADI CD,EFEPLY,67620,539.9,64620,565.5,84200,625.3,,100,968,23,49,184,371,513,21,21,30,,352,393,319,4,,,0,32,23,15,2,0,0,202.02,10,WO,28.93,1.25,15627.07,218.28,1160.75,860.07
N5,CT,FK05T2X04,3BY11,PP,25,Y,S3,2,0.2,1,128,5.7,ET,SI_GHM_KIYO-EXP_MRT,KB067811,PT,LG31,PU3,SI ADI CD,EFEPLY,14924,178.4,10621,179.9,14846,182.7,,198,442,13,21,151,266,223,11,13,10,,125,173,308,12,22,,0,6,7,17,2,2,0,467.02,15,WS,132.8,2,4916.02,16.48,395.01,158.2
N5,CT,FK05T2X04,3C8N1,PP,25,Y,S3-D,,0.05,1,,,ET,SI_FIN_KIYO-EXP,KB019152,FC,LG11,PU1,DBO,EFEPLY,50075,332.1,46795,326.9,45623,314.6,,121,477,18,22,177,200,221,15,8,17,,10,375,171,42,,,0,2,22,12,4,0,0,1254.37,14,WO,44.42,0.9,1103.92,15.03,102.12,83.58
N5,CT,FK05T2X04,3C8P1,PP,25,Y,S3-D,,0.06,1,,,ET,SI_FIN_KIYO-EXP,KB019552,FE,LG11,PU1,DBO,EFEPLY,50075,332.1,46795,326.9,45623,314.6,,121,477,18,22,177,200,221,15,8,17,,10,375,171,42,,,0,2,22,12,4,0,0,1254.37,14,WO,39.42,0.9,1103.92,15.03,102.12,60.58
N8,QJ,FN08T9XA2,3AZD1,PP,23,Y,S3,,0.26,1,,,ET,SI_RPG_KIYO-EX,NV220530,SD,LG34,PU3,SI ADI CD,EFEPLY,28319,516.4,22210,517,25921,522.5,,70,196,6,10,83,26,157,7,2,7,,72,62,32,,100,,0,4,3,2,0,7,0,809.02,8,HO,161.13,2.28,843.32,10.37,125.64,194.87
N3,C5,FC1978X01,3A4TA1,PT,4,Y,S3,2,0.39,1,44,12.84,ET,HK_HM_KIYO-FX,CA296600,MR,LG42,PU4,KLA,EFEPLY,67620,539.9,64620,565.5,84200,625.3,,69,803,13,43,129,289,454,16,13,27,,292,251,329,,,,0,23,17,16,0,0,0,283.02,11,WO,22.98,1.25,15627.07,218.28,1160.75,398.02
N3,C5,FC1978X01,3AUT1,PT,24,Y,S3-E,,0.16,1,151,5.1,ET,SI_TJ_KIYO-GX,CA111002,TJ,LG32,PU3,BEOL REVIEW,EFEPLY,16960,160,14700,147.5,16760,158.7,,452,247,53,11,181,92,426,34,5,25,,699,,,,,,0,64,0,0,0,0,0,5214.02,10,WO,238.02,2.85,5603.42,213.62,901.68,1384.98
N3,ZP,5VP03MZ01,ZMAS1,EB,22,Y,S3-E,,0.15,1,,,ET,SI_GHM_KIYO-FXE,NU065300,PX,LG31,PU3,SI ADI CD,EFEPLY,6838,58.2,7111,62.5,7605,76.7,,255,1841,21,82,286,100,1710,23,4,76,,821,1275,,,,,0,49,54,0,0,0,0,3185.02,9,HO,227.72,2.7,49692.77,1431.73,4116.76,1990.28
N5,CT,FK05T2X04,3C7X1,PP,25,Y,S3-D,,0.06,1,138,6.19,ET,SI_FIN_KIYO-EXP,KB019552,FE,LG11,PU1,SI ADI CD,EFEPLY,50075,332.1,46795,326.9,45623,314.6,,121,477,18,22,177,200,221,15,8,17,,10,375,171,42,,,0,2,22,12,4,0,0,1254.37,14,WO,30.5,0.9,1103.92,15.03,102.12,70.49999999
N5,A1,4LY022X02,3AA3C1,PP,10,Y,S3-B,,0.49,1,113,4.12,ET,HK_HM_KIYO-FX,KQ272000,MR,LG42,PU4,KLA,EFEPLY,64620,565.5,84200,625.3,84360,613.3,,100,968,23,49,184,371,513,21,21,30,,352,393,319,4,,,0,32,23,15,2,0,0,202.02,10,WO,55.45,2.15,2668.02,134.9,451.65,348.55
N3,SY,5E5535X01,ZMHM1,EB,25,Y,S3-E,2,0.07,1,,,ET,SI_STI_KIYO-GX,NU023400,FB,LG21,PU2,SI ADI CD,EFEPLY,9540,124,10180,139,11360,140.1,,235,224,19,11,28,69,362,4,5,21,,459,,,,,,0,30,0,0,0,0,0,875.02,7,WG,421.27,1.05,6482.4,231.93,866.31,1437.73
N4,BU,5P9865A02,3AAR1,PT,22,Y,S3-B,,0.5,1,76,6.54,ET,HK_HM_KIYO-FX,VL407501,CX,LG51,PU5,SI ADI검사,EFEPLY,57000,570.6,63780,540.3,67620,539.9,,195,798,23,44,82,334,577,14,18,35,,441,389,163,,,,0,34,25,8,0,0,0,743.05,16,WG,119.83,1.63,10440.73,50.54,406.2,19.17
N5,CT,FK05T2X04,3BCX1,PP,24,Y,S3,,0.38,1,108,5.21,ET,HK_HM_KIYO-FX,KB245010,WF,LG41,PU4,KLA,EFEPLY,73020,575,87100,610.7,79400,631.7,,242,1323,29,65,138,525,902,23,22,49,,594,459,487,25,,,0,43,25,25,1,0,0,535.52,21,WO,221.68,1.63,2127.35,58.78,242.23,434.32
N5,CT,FK05T2X04,3B2N1,PP,25,Y,S3,,0.38,1,107,5.26,ET,HK_HM_KIYO-FX,KB245010,WF,LG41,PU4,SI ADI CD,EFEPLY,87100,610.7,79400,631.7,79720,598.3,,242,1323,29,65,138,525,902,23,22,49,,594,459,487,25,,,0,43,25,25,1,0,0,535.52,21,WO,202.67,1.63,2127.35,58.78,242.23,8.329999996
N8,QG,FN08G7XA2,3CWC1,PP,25,Y,S3-E,,0.02,1,158,5.41,ET,SI_FIN-L_KIYO-EXP,NV005405,FN,LG11,PU1,SI ADI CD,EFEPLY,23463,291.2,22872,287.6,15086,299.1,,102,203,11,10,237,,68,16,0,5,,,,,,305,,0,0,0,0,0,21,0,21672.02,7,WD,62.75,1.6,2414.6,15.82,148.04,249.25
