DR,PROCESS_ID,PART_ID,LOT_ID,LOTTYPE,QTY,HOLD_FLAG,FLOORID,GRADE,COMPLETE_RATE,LOT_PURPOSE,DUE_DATE,WIPTURN,ROOM,PROCESS_GROUP,STEP_ID,LAYER_TITLE,LAYER_GROUP,BLOCK_GROUP,PRE_STEPGBN2,EQPTYPE,MOVE_0,EQP_WORKLOAD_0,MOVE_1,EQP_WORKLOAD_1,MOVE_2,EQP_WORKLOAD_2,BATCH,Q_E,Q_P,L_E,L_P,Q_H,Q_R,Q_W,L_H,L_R,L_W,Q_2,Q_3,Q_4,Q_5,Q_7,Q_8,Q_10,L_2,L_3,L_4,L_5,L_7,L_8,L_10,WIP_WAITTIME,WIP_PRODUCT_NUM,SHIFT_TYPE,PROCESSTIME,PRC_WAIT_MIN,PRC_WAIT_MAX,PRC_WAIT_MEDIAN,PRC_WAIT_STD,WAITTIME
N4,BU,5P9865A02,3917J9,PT,3,Y,S3,,0.64,J,,,PH,COATER_HSOH,VL532850,L1,LG61,PU6,ACI_OCD,PARCCO,28698,15.6,33190,18,28430,16.5,,459,908,177,84,644,304,419,171,15,75,2,335,702,275,9,44,,2,98,94,38,4,25,0,9449,53,WG,7.67,1.33,51449.62,8.47,728.1,107.33
N4,BU,5P9865A02,363Y1,PT,22,Y,S3,1,0.88,1,12,10,PH,COATER_HSOH,VL746200,D10,LG63,PU6,FOUP_TRANSFER,PARCCO,28698,15.6,33190,18,28430,16.5,,489,906,174,75,747,196,452,169,12,68,,398,659,234,10,94,,0,96,82,38,5,28,0,10246.02,50,WS,11.87,1.33,51449.62,8.47,728.1,273.13
N5,LJ,FK05M2X01,383P1,PP,22,Y,S3,,0.78,1,38,5.34,PH,COATER_HSOH,KB601700,D5,LG63,PU6,FOUP_TRANSFER,PARCCO,28698,15.6,33190,18,28430,16.5,,489,906,174,75,747,196,452,169,12,68,,398,659,234,10,94,,0,96,82,38,5,28,0,10246.02,50,WS,16.03,1.63,6477.23,9.22,170.92,247.97
N5,LJ,FK05M2X01,3AKX1,PP,24,Y,S3,2,0.61,1,60,5.95,PH,COATER_HSOH,KB453400,CM,LG51,PU5,두께측정(THK),PARCCO,33190,18,28430,16.5,29849,16.5,,524,845,170,68,683,343,343,167,17,54,,388,572,267,35,107,,0,86,79,37,6,30,0,10575,50,WO,30.55,1.63,6477.23,9.22,170.92,348.45
N4,BU,5P9865A02,38BR1,PT,23,Y,S3-D,,0.77,1,23,10.04,PH,COATER_HSOH,VL663740,FD,LG63,PU6,CU_PE_NDC,PARCCO,26366,16.2,27033,17,26859,16.7,,570,1491,188,111,874,488,699,187,25,87,,560,903,512,10,76,,0,105,112,48,5,29,0,7772,55,WO,11.48,1.33,51449.62,8.47,728.1,10.52
N4,BU,5P9865A02,37WXB1,PT,1,Y,S3-D,,0.83,1,27,6.15,PH,COATER_HSOH,VL726300,D8,LG63,PU6,FOUP_TRANSFER,PARCCO,27766,15.7,28698,15.6,33190,18,,662,1397,180,114,683,518,858,167,25,102,,475,1029,352,9,194,,0,97,119,43,4,31,0,4579.02,52,WS,6.7,1.33,51449.62,8.47,728.1,823.3
N5,CT,FK05T2X01,395Y1,PP,24,Y,S3,3,0.97,1,12,2.25,PH,COATER,KB890800,LB,LG71,PU7,CU REVIEW,PESPIN,974,1,1579,1,1521,1,,,221,0,11,196,25,,10,1,0,,,,196,,25,,0,0,0,10,0,1,0,10877.03,2,WD,19.18,1.95,284.83,7.18,32.45,304.82
N5,CT,FK05T2X01,39GDN1,PP,18,Y,S3,,0.98,N,,,PH,LABEL,KB900700,LB,LG71,PU7,ADI검사,PLMARK,1224,1.9,1320,1.9,1080,1.9,,,48,0,3,18,,30,1,0,2,,,,23,,25,,0,0,0,2,0,1,0,21,2,WO,18.27,1.63,432.65,5.03,37.14,98.72999999
N4,BU,5P9865A02,3BXF1,PT,25,Y,S3,1,0.26,1,102,7.24,PH,KRF_HIGH,VL100000,EN,LG33,PU3,SI_3DSPIPA_STRIP_S,PMAINF,8378,6.9,8407,6.6,9073,6.9,,242,1245,30,56,1112,105,270,67,5,14,,21,196,169,,1100,1,0,3,13,12,0,57,1,2615.02,22,WO,50.23,0.05,16106.25,16.27,632.92,1721.77
N4,BU,5P9865A02,38WX1,PT,25,Y,S3,,0.54,1,65,7.08,CL,MT_DIW_BBRUSH_S,VL419700,CN,LG51,PU5,M_PE_NH3TR,WETSSW,14306,37.5,14237,37.8,12741,36.8,,213,218,43,14,115,185,131,29,10,18,,154,91,95,70,,,0,28,9,6,5,0,0,12948.02,16,WS,23.67,0.98,17121.35,4.37,363.46,3788.33
N4,RQ,5E9925G01,3C7A1,PP,24,Y,S3-D,,0.12,1,154,5.72,IM,MC_EX3000,VH056200,NW,LG21,PU2,두께측정(THK),IIMPMC,12936,6.9,11762,6.7,12853,6.9,,169,157,27,13,97,150,79,24,7,9,,122,57,83,,60,,0,9,5,12,0,12,0,6257.55,16,WO,22.8,1.35,54.17,2.56,6.17,67.2
N4,BU,5P9865A02,3C9C1,PP,19,Y,S3,,0.12,1,125,7.04,IM,MC_EX3000,VL039100,NW,LG21,PU2,SI ACI CD,IIMPMC,11950,6.2,12181,6.5,12936,6.9,,65,268,24,14,69,190,74,22,9,7,,99,47,98,,85,,0,6,4,13,0,13,0,9999.02,15,WS,21.25,1.42,716.92,2.43,37.64,64.75000001
N4,BU,5P9865A02,38Y61,PT,10,Y,S3-B,,0.5,1,63,7.84,ET,HK_MCHM_FLEX-FS,VL408000,CX,LG51,PU5,SI REVIEW,EFEOXD,720,13.2,843,14.8,705,12.4,,126,299,14,19,148,103,174,13,6,14,,124,301,,,,,0,10,23,0,0,0,0,919.03,7,HO,326.27,2.57,26287.48,280.72,3240.69,2704.73
N4,BU,5P9865A02,3AAR1,PT,21,Y,S3-E,,0.5,1,76,6.5,ET,HK_MCHM_FLEX-FS,VL408000,CX,LG51,PU5,MT_DSPHB_STRIP_S,EFEOXD,558,12.4,522,15.8,630,17.4,,56,210,11,17,90,68,108,13,5,10,,78,188,,,,,0,7,21,0,0,0,0,1195.53,5,WG,267.97,2.57,26287.48,280.72,3240.69,436.03
N4,BU,5P9865A02,3AH61,PT,24,Y,S3-B,2,0.49,1,78,6.47,ET,NI_MC_VIGUS-LK3,VL400401,CA,LG51,PU5,ERVS,EFEOXD,13182,193.2,11481,184.6,12036,184.7,,896,514,107,34,394,292,724,62,17,62,,652,418,209,21,110,,0,85,29,12,1,14,0,3135.02,26,WO,65,1.95,49876.7,40.72,2031,1651
N4,BU,5P9865A02,399DN3,PT,3,,S3-B,,0.5,N,77,6.42,ET,HK_MCHM_FLEX-FS,VL408000,CX,LG51,PU5,MT_DSPHB_STRIP_S,EFEOXD,774,17.4,969,18,912,17.8,,138,209,15,13,66,67,214,8,4,16,,151,196,,,,,0,11,17,0,0,0,0,1238.52,8,HG,69.73,2.57,26287.48,280.72,3240.69,14243.27
N4,BU,5P9865A02,386U1,PT,10,Y,S3-B,,0.5,1,64,7.72,ET,HK_MCHM_FLEX-FS,VL408000,CX,LG51,PU5,MT_DSPHB_STRIP_S,EFEOXD,720,13.2,843,14.8,705,12.4,,136,156,15,12,66,55,171,8,6,13,,132,160,,,,,0,11,16,0,0,0,0,2050.02,7,HG,195.77,2.57,26287.48,280.72,3240.69,3779.23
N4,BU,5P9865A02,3A431,PT,23,Y,S3,,0.44,1,81,6.93,ET,HK_HM_KIYO-FX,VL274000,MS,LG42,PU4,KLA,EFEPLY,80140,607.4,65340,595.9,71040,572.8,,238,1352,31,71,143,416,1031,25,22,55,,748,317,525,,,,0,55,20,27,0,0,0,458.52,16,WG,141.63,1.63,10440.73,50.54,406.2,223.37
N4,BU,5P9865A02,3BW41,PT,21,Y,S3-B,,0.18,1,104,7.88,ET,SI_GHM_KIYO-FXE,VL070700,PCEUV,LG31,PU3,ERVS,EFEPLY,7332,76.4,7488,76,6929,80.7,,396,1687,30,72,265,48,1770,21,3,78,,1284,799,,,,,0,66,36,0,0,0,0,1684.52,11,WG,243.25,4.55,11283.23,2089.6,3443.8,1055.75
N4,BU,5P9865A02,3BCB1,PT,21,Y,S3-B,,0.18,1,105,7.8,ET,SI_GHM_KIYO-FXE,VL070700,PCEUV,LG31,PU3,ERVS,EFEPLY,7332,76.4,7488,76,6929,80.7,,367,1709,28,72,260,119,1697,20,5,75,,1230,846,,,,,0,62,38,0,0,0,0,2105.02,11,WO,195.47,4.55,11283.23,2089.6,3443.8,1293.53
N4,BU,5P9865A02,3A5K1,PT,23,Y,S3-B,,0.5,1,74,6.72,ET,HK_HM_KIYO-FX,VL407501,CX,LG51,PU5,DBO,EFEPLY,83700,619.8,79220,613,77460,612,,239,837,23,43,171,401,504,21,19,26,,151,509,416,,,,0,19,26,21,0,0,0,610.02,18,HD,209.38,1.63,10440.73,50.54,406.2,9435.62
N4,BU,5P9865A02,3AN51,PT,19,Y,S3,,0.41,1,90,6.53,ET,HK_SOHEB_SYM3,VL267400,PV,LG42,PU4,KLA,EFEPLY,7475,83.3,6100,80.6,9960,78.4,,130,130,11,12,79,127,54,10,6,7,,116,73,49,,22,,0,15,4,2,0,2,0,405.03,10,WG,79.95,1.65,1725.12,13.48,127.7,4870.05
N4,BU,5P9865A02,3ABK1,PT,13,Y,S3-B,,0.37,1,81,7.72,ET,HK_HM_KIYO-FX,VL256000,TP,LG41,PU4,KLA,EFEPLY,80900,561.3,72200,582.1,73020,575,,222,1226,24,63,146,498,804,23,23,41,,627,279,542,,,,0,43,16,28,0,0,0,639.02,19,WD,161.95,1.63,10440.73,50.54,406.2,2214.05
N5,CT,FK05T2X04,3C361,PP,21,Y,S3-D,,0.18,1,128,5.85,ET,SI_GHM_KIYO-EXP_MRT,KB062600,KO1,LG21,PU2,OCD,EFEPLY,6799,165.2,6071,164.3,6448,169.2,,271,106,20,6,169,73,135,13,4,9,,97,1,161,10,108,,0,5,1,12,1,7,0,1521.52,14,HO,115.15,2,4916.02,16.48,395.01,1911.85
N4,BU,5P9865A02,3AK61,PT,25,Y,S3-B,,0.5,1,69,7.2,ET,HK_HM_KIYO-FX,VL407501,CX,LG51,PU5,SI ADI CD,EFEPLY,84360,613.3,83700,619.8,79220,613,,249,1728,29,88,119,450,1408,18,21,78,,628,368,977,4,,,0,50,19,47,1,0,0,896.02,18,HO,117.28,1.63,10440.73,50.54,406.2,1308.72
N4,BU,5P9865A02,3AC51,PT,25,Y,S3-B,,0.55,1,58,7.66,ET,HK_MRD_KIYO-FX,VL430600,CR,LG51,PU5,ACI_OCD,EFEPLY,48780,244.1,51580,260.1,56500,245,,206,302,31,16,244,123,141,25,6,16,,136,278,94,,,,0,14,25,8,0,0,0,535.03,16,WS,39.1,1.52,4417.23,21.95,290.5,809.9
N3,C5,FC1978X01,3A0U1,PT,19,Y,S3-B,,0.14,1,156,5.1,ET,SI_GHM_KIYO-FXE,CA081000,PC,LG31,PU3,ERVS,EFEPLY,6513,71.8,7332,76.4,7488,76,,456,1313,35,57,283,106,1380,25,5,62,,1098,671,,,,,0,61,31,0,0,0,0,1857.07,10,WG,147.13,2.92,38344.02,803.15,3243.63,4139.87
N3,C5,FC1978X01,3AW61,PT,19,Y,S3-B,,0.14,1,161,4.94,ET,SI_GHM_KIYO-FXE,CA081000,PC,LG31,PU3,ERVS,EFEPLY,7605,76.7,6513,71.8,7332,76.4,,437,1211,35,57,251,62,1335,23,5,64,,1039,609,,,,,0,61,31,0,0,0,0,1761.67,10,WG,136.07,2.92,38344.02,803.15,3243.63,6206.93
N4,BU,5P9865A02,3AVY1,PT,13,Y,S3,,0.34,1,82,7.98,ET,HK_HM_KIYO-FX,VL244800,WF,LG41,PU4,KLA,EFEPLY,79140,589,80900,561.3,72200,582.1,,225,796,25,43,147,313,561,20,17,31,,268,375,318,60,,,0,29,21,15,3,0,0,609.02,18,WG,133.42,1.63,10440.73,50.54,406.2,81.58
N4,BU,5P9865A02,3BTX1,PT,21,Y,S3-B,,0.18,1,96,8.53,ET,SI_GHM_KIYO-FXE,VL070700,PCEUV,LG31,PU3,ERVS,EFEPLY,6513,71.8,7332,76.4,7488,76,,367,1635,28,68,235,119,1648,19,5,72,,1205,797,,,,,0,61,35,0,0,0,0,2065.02,11,WO,111.43,4.55,11283.23,2089.6,3443.8,1950.57
N4,BU,5P9865A02,3B2A1,PT,13,Y,S3-B,,0.34,1,82,7.98,ET,HK_HM_KIYO-FX,VL244800,WF,LG41,PU4,SI ADI CD,EFEPLY,79140,589,80900,561.3,72200,582.1,,225,796,25,43,147,313,561,20,17,31,,268,375,318,60,,,0,29,21,15,3,0,0,609.02,18,WG,131.52,1.63,10440.73,50.54,406.2,310.48
N4,BU,5P9865A02,3A1K1,PT,23,Y,S3-D,,0.44,1,84,6.68,ET,HK_HM_KIYO-FX,VL274000,MS,LG42,PU4,SI ADI CD,EFEPLY,64620,565.5,84200,625.3,84360,613.3,,245,1659,30,83,215,442,1247,28,23,62,,854,405,645,,,,0,57,24,32,0,0,0,529.02,16,WO,80.53,1.63,10440.73,50.54,406.2,8929.47
N4,BU,5P9865A02,3AGN1,PT,25,Y,S3-B,,0.5,1,70,7.1,ET,HK_HM_KIYO-FX,VL407501,CX,LG51,PU5,DBO,EFEPLY,77460,612,80140,607.4,65340,595.9,,262,1622,32,82,190,405,1289,27,21,66,,868,398,618,,,,0,58,26,30,0,0,0,479.52,16,WO,109.22,1.63,10440.73,50.54,406.2,1516.78
N3,C5,FC1978X01,39TW1,PT,25,Y,S3-D,,0.4,1,100,5.53,ET,HK_HM_KIYO-FX,CA304600,MS,LG42,PU4,KLA,EFEPLY,77460,612,80140,607.4,65340,595.9,,248,873,28,48,201,324,596,23,16,37,,534,281,247,59,,,0,40,18,15,3,0,0,627.52,20,WD,87.12,1.25,15627.07,218.28,1160.75,4937.88
N4,BU,5P9865A02,3AB51,PT,20,Y,S3-B,,0.55,1,60,7.4,ET,HK_MRD_KIYO-FX,VL430600,CR,LG51,PU5,ACI_OCD,EFEPLY,56500,245,63520,244,56240,257.1,,183,507,32,27,226,171,293,27,8,24,,343,275,72,,,,0,32,24,3,0,0,0,413.02,14,WO,75.43,1.52,4417.23,21.95,290.5,1085.57
N4,BU,5P9865A02,3BV61,PT,21,Y,S3-B,,0.18,1,100,8.19,ET,SI_GHM_KIYO-FXE,VL070700,PCEUV,LG31,PU3,ERVS,EFEPLY,7605,76.7,6513,71.8,7332,76.4,,318,1701,29,70,307,140,1572,23,6,70,,1179,840,,,,,0,63,36,0,0,0,0,2525.02,11,WS,122,4.55,11283.23,2089.6,3443.8,3033
N5,CT,FK05T2X04,3CPY1,PP,25,Y,S3,,0.03,1,133,6.62,ET,SI_FIN_KIYO-EXP_MRT,KB008122,FN,LG11,PU1,SI_ALD_OX_WO,EFEPLY,7553,177.8,4849,168.4,7085,168.6,,38,132,5,9,78,50,42,6,2,6,,,102,68,,,,0,0,9,5,0,0,0,282.02,6,WG,67.55,1.65,1382.05,29.6,194.54,1808.45
N4,BU,5P9865A02,3AFK1,PT,25,Y,S3-B,,0.34,1,81,8.07,ET,HK_HM_KIYO-FX,VL244800,WF,LG41,PU4,KLA,EFEPLY,80900,561.3,72200,582.1,73020,575,,384,1136,36,60,173,456,891,22,23,51,,432,609,391,88,,,0,38,34,19,5,0,0,684.53,19,WD,258.82,1.63,10440.73,50.54,406.2,576.18
N4,BU,5P9865A02,3A9W1,PT,25,Y,S3-B,,0.37,1,81,7.72,ET,HK_HM_KIYO-FX,VL256000,TP,LG41,PU4,KLA,EFEPLY,80900,561.3,72200,582.1,73020,575,,263,1172,28,60,143,405,887,22,19,47,,657,235,543,,,,0,46,15,27,0,0,0,516.02,21,WO,208.38,1.63,10440.73,50.54,406.2,2555.62
N3,C5,FC1978X01,3AVC1,PT,21,Y,S3-B,,0.14,1,162,4.91,ET,SI_GHM_KIYO-FXE,CA081000,PC,LG31,PU3,ERVS,EFEPLY,7605,76.7,6513,71.8,7332,76.4,,458,1359,34,60,292,90,1435,25,5,64,,1171,646,,,,,0,63,31,0,0,0,0,2035.9,11,WD,167.45,2.92,38344.02,803.15,3243.63,5630.55
N3,C5,FC1978X01,3AV81,PT,21,Y,S3-B,,0.14,1,162,4.91,ET,SI_GHM_KIYO-FXE,CA081000,PC,LG31,PU3,ERVS,EFEPLY,7605,76.7,6513,71.8,7332,76.4,,458,1409,34,63,292,90,1485,25,5,67,,1221,646,,,,,0,65,32,0,0,0,0,2026.87,11,WO,241.8,2.92,38344.02,803.15,3243.63,5297.2
N4,BU,5P9865A02,3ACH1,PT,24,Y,S3,,0.41,1,90,6.53,ET,HK_SOHEB_SYM3,VL267400,PV,LG42,PU4,KLA,EFEPLY,6720,79.8,10795,88.6,6140,90.7,,132,173,14,11,38,189,78,7,9,9,,126,98,48,,33,,0,15,6,2,0,2,0,204.02,10,WO,93.18,1.65,1725.12,13.48,127.7,685.82
N3,C5,FC1978X01,3AV91,PT,21,Y,S3-B,,0.14,1,161,4.94,ET,SI_GHM_KIYO-FXE,CA081000,PC,LG31,PU3,ERVS,EFEPLY,6513,71.8,7332,76.4,7488,76,,456,1247,35,56,283,80,1340,25,4,62,,1098,605,,,,,0,62,29,0,0,0,0,1826.83,10,WG,168.75,2.92,38344.02,803.15,3243.63,5227.25
N4,BU,5P9865A02,392D1,PT,25,Y,S3-B,2,0.65,1,55,6.42,ET,CU_SAUP_METAL-FXM_MRT,VL541500,I1,LG61,PU6,ERVS,EBEMTL,8018,102.9,8502,105.5,9194,112.2,,678,255,116,30,224,124,585,64,7,75,,746,187,,,,,0,112,34,0,0,0,0,2473,21,WG,216.28,2.05,13898.83,146.44,789.14,2355.72
N4,RQ,5E9925G01,37UG1,PP,23,Y,S3,,0.65,1,55,6.42,ET,CU_SAUP_METAL-FXM_MRT,VH501311,I1,LG61,PU6,ERVS,EBEMTL,10076,109.5,9322,93.3,5068,63.9,,590,402,107,41,274,112,606,65,6,77,,579,413,,,,,0,101,47,0,0,0,0,1356.28,24,WG,84.8,2.02,17094.82,127.96,1043.28,894.2
N4,BU,5P9865A02,39N31,PT,21,Y,S3,2,0.65,1,48,7.35,ET,CU_SAUP_METAL-FXM_MRT,VL541500,I1,LG61,PU6,ERVS,EBEMTL,9194,112.2,10076,109.5,9322,93.3,,629,405,121,43,200,156,678,64,9,91,,713,321,,,,,0,116,48,0,0,0,0,1610.08,22,WS,90.55,2.05,13898.83,146.44,789.14,97.45000001
N4,RQ,5E9925G01,385D1,PP,13,Y,S3,,0.65,1,53,6.66,ET,CU_SAUP_METAL-FXM_MRT,VH501311,I1,LG61,PU6,ERVS,EBEMTL,8018,102.9,8502,105.5,9194,112.2,,683,254,122,31,250,130,557,65,10,78,,731,206,,,,,0,117,36,0,0,0,0,2731.02,23,WO,130.52,2.02,17094.82,127.96,1043.28,819.48
N4,BU,5P9865A02,38Y81,PT,22,Y,S3,,0.65,1,47,7.51,ET,CU_SAUP_METAL-FXM_MRT,VL541500,I1,LG61,PU6,ERVS,EBEMTL,11029,100.3,8018,102.9,8502,105.5,,439,320,96,27,169,213,377,60,14,49,,456,303,,,,,0,89,34,0,0,0,0,3527.02,21,WO,94.58,2.05,13898.83,146.44,789.14,48.41999999
N4,BU,5P9865A02,396C1,PT,23,Y,S3,,0.65,1,49,7.2,ET,CU_SAUP_METAL-FXM_MRT,VL541500,I1,LG61,PU6,ERVS,EBEMTL,9626,113.2,7585,110.3,11307,110.6,,528,247,97,35,204,176,395,61,11,60,,544,231,,,,,0,91,41,0,0,0,0,3065.03,18,WD,82.32,2.05,13898.83,146.44,789.14,322.68
N4,BU,5P9865A02,38Y8N3,PT,3,Y,S3,,0.65,N,54,6.54,ET,CU_SAUP_METAL-FXM_MRT,VL541500,I1,LG61,PU6,ERVS,EBEMTL,7585,110.3,11307,110.6,7498,96.9,,339,252,85,26,252,105,234,68,8,35,,403,188,,,,,0,84,27,0,0,0,0,4556.02,19,WG,31.1,2.05,13898.83,146.44,789.14,372.9
N4,BU,5P9865A02,3A7X1,PT,25,Y,S3-B,,0.41,1,78,7.5,ET,HK_ASH_SUPREMA,VL268200,PV,LG42,PU4,ACI_OCD,EFEASH,40312,78.1,35308,77.1,34916,75.7,,134,588,24,40,163,414,145,29,20,15,,209,177,312,,23,,0,24,15,23,0,1,0,804.53,15,HO,31.2,1.1,1246.37,4.53,40.18,1558.8
N5,LJ,FK05M2X01,3AVF1,PP,25,Y,S3-B,,0.46,1,97,5.1,ET,HK_ASH_SUPREMA,KB268600,PU,LG42,PU4,ACI_OCD,EFEASH,37236,77.7,36698,78.3,39712,79.5,,213,689,30,36,140,522,240,26,24,16,,317,205,354,,25,,0,28,12,24,0,1,0,47.02,19,WO,41.67,1.23,4597.52,4.45,149.94,6269.33
N4,RQ,5E9925G01,3AUC1,PP,21,Y,S3-B,,0.18,1,138,5.93,ET,SI_GHM_KIYO-FXE,VH100705,PCEUV,LG31,PU3,ERVS,EFEPLY,7488,76,6929,80.7,4628,68.1,,358,1614,28,66,290,85,1597,22,4,68,,1196,776,,,,,0,61,33,0,0,0,0,1965.02,11,WD,102.02,2.7,49692.77,1431.73,4116.76,699.98
N4,RQ,5E9925G01,3BR91,PP,21,Y,S3-B,2,0.18,1,138,5.93,ET,SI_GHM_KIYO-FXE,VH100705,PCEUV,LG31,PU3,ERVS,EFEPLY,7332,76.4,7488,76,6929,80.7,,347,1689,27,70,266,125,1645,21,6,70,,1235,801,,,,,0,62,35,0,0,0,0,2005.02,11,WO,159.87,2.7,49692.77,1431.73,4116.76,1819.13
N4,RQ,5E9925G01,3BDF1,PP,21,Y,S3-B,,0.18,1,139,5.88,ET,SI_GHM_KIYO-FXE,VH100705,PCEUV,LG31,PU3,ERVS,EFEPLY,7488,76,6929,80.7,4628,68.1,,428,1622,33,69,280,57,1713,22,4,76,,1245,805,,,,,0,66,36,0,0,0,0,1851.82,11,WO,190.78,2.7,49692.77,1431.73,4116.76,1204.22
N4,RQ,5E9925G01,3BP11,PP,21,Y,S3-B,2,0.18,1,136,6.01,ET,SI_GHM_KIYO-FXE,VH100705,PCEUV,LG31,PU3,ERVS,EFEPLY,7111,62.5,7605,76.7,6513,71.8,,207,1982,22,87,419,97,1673,31,5,73,,1028,1161,,,,,0,58,51,0,0,0,0,2885.02,9,WO,155.48,2.7,49692.77,1431.73,4116.76,2129.52
N4,RQ,5E9925G01,3BP41,PP,21,Y,S3-B,,0.18,1,137,5.97,ET,SI_GHM_KIYO-FXE,VH100705,PCEUV,LG31,PU3,ERVS,EFEPLY,7605,76.7,6513,71.8,7332,76.4,,245,1684,28,73,303,67,1559,23,5,73,,972,957,,,,,0,57,44,0,0,0,0,3415.02,10,WS,144.92,2.7,49692.77,1431.73,4116.76,2300.08
N4,RQ,5E9925G01,3C1KA1,PP,4,Y,S3-D,,0.24,1,125,6.12,DI,ALD_LOWK_MINI,VH133700,TJ,LG32,PU3,두께측정(THK),DIFARO,4476,49.9,4413,50.7,4449,54.7,Y,115,475,36,37,120,310,160,33,20,20,,108,229,243,,10,,0,22,35,14,0,2,0,3240.02,15,WO,272.07,4.42,27775.53,43.97,1737.19,1695.93
N4,RQ,5E9925G01,3BP21,PP,25,Y,S3-D,,0.24,1,125,6.12,DI,ALD_LOWK_MINI,VH133700,TJ,LG32,PU3,SI REVIEW,DIFARO,4413,50.7,4449,54.7,3456,55.6,Y,115,498,36,34,145,239,229,36,11,23,,83,252,268,,10,,0,21,32,15,0,2,0,3458.03,15,WO,270.87,4.42,27775.53,43.97,1737.19,103.13
N4,RQ,5E9925G01,3BP11,PP,25,Y,S3-D,2,0.24,1,125,6.12,DI,ALD_LOWK_MINI,VH133700,TJ,LG32,PU3,SI_HFSFHIPA_CLN_S,DIFARO,4476,49.9,4413,50.7,4449,54.7,Y,101,525,35,37,146,299,181,36,13,23,,59,289,268,,10,,0,20,35,15,0,2,0,3070.03,16,WS,270.95,4.42,27775.53,43.97,1737.19,1403.05
N4,BU,5P9865A02,3C1U1,PP,21,Y,S3-D,,0.09,1,113,8.03,CL,SI_SPM_STRIP_S,VL031799,FM,LG12,PU1,SI REVIEW,WETSTN,17330,97.5,18154,97.5,18343,97.5,Y,76,334,15,16,66,224,120,13,9,9,,97,132,178,,3,,0,13,8,9,0,1,0,294.02,11,WO,10.62,1.37,4484.05,3.35,146.09,867.38
N4,RQ,5E9925G01,3BTN1,PP,24,Y,S3,2,0.25,1,103,7.3,DI,ALD_OX,VH142100,RG,LG32,PU3,SI_HFSFHIPA_CLN_S,DIFALD,3713,15,3701,14.5,3561,15,Y,278,798,81,40,211,457,408,60,20,41,,293,300,59,,424,,0,53,27,6,0,35,0,5282.02,24,WO,178.05,7.93,5104.05,39.58,385.38,512.95
N4,RQ,5E9925G01,3B9Y1,PP,25,Y,S3,2,0.25,1,104,7.23,DI,ALD_OX,VH142100,RG,LG32,PU3,SI_HFSFHIPA_CLN_S,DIFALD,3713,15,3701,14.5,3561,15,Y,521,649,86,45,192,696,282,55,33,43,,170,386,52,,562,,0,43,43,3,0,42,0,2807.02,20,WS,167.2,7.93,5104.05,39.58,385.38,716.8
N4,BU,5P9865A02,3BP81,PT,25,Y,S3-D,,0.24,1,103,7.31,DI,ALD_OX,VL095900,RG,LG32,PU3,두께측정(THK),DIFALD,4137,14.3,3713,15,3701,14.5,Y,349,738,76,44,202,551,334,51,27,42,,357,282,134,,314,,0,50,26,12,0,32,0,2707.52,24,WS,167.53,0.45,48386.82,37.75,2359.11,1261.47
N4,RQ,5E9925G01,3BR91,PP,25,Y,S3,2,0.25,1,104,7.23,DI,ALD_OX,VH142100,RG,LG32,PU3,SI_HFSFHIPA_CLN_S,DIFALD,3713,15,3701,14.5,3561,15,Y,434,676,82,47,218,541,351,57,24,48,,210,364,77,,459,,0,47,43,4,0,35,0,2722.02,21,WG,169.35,7.93,5104.05,39.58,385.38,589.65
N4,RQ,5E9925G01,3C1KB1,PP,4,Y,S3-E,,0.25,1,102,7.37,DI,ALD_OX,VH142100,RG,LG32,PU3,두께측정(THK),DIFALD,4137,14.3,3713,15,3701,14.5,Y,337,920,71,51,307,423,527,57,18,47,,291,375,192,,399,,0,45,32,11,0,34,0,1825.52,22,WD,177.35,7.93,5104.05,39.58,385.38,584.65
N3,CU,FC1973X01,391K1,PT,25,Y,S3-B,3,0.6,1,47,7.87,ET,CU_SAUP_METAL-FXM_MRT,CA521010,X1S,LG61,PU6,CU_DSPM_BSTRIP_S,EBEMTL,7432,122.5,9003,117.1,8243,113.4,,394,319,91,30,218,123,372,63,11,47,,467,246,,,,,0,89,32,0,0,0,0,2977.02,20,HG,235.83,2.02,17094.82,127.96,1043.28,2527.17
N3,CU,FC1973X01,398TE5,PT,4,Y,S3-B,,0.6,E,45,8.22,ET,CU_SAUP_METAL-FXM_MRT,CA521010,X1S,LG61,PU6,CU REVIEW,EBEMTL,7585,110.3,11307,110.6,7498,96.9,,335,352,83,35,245,145,297,68,8,42,,378,309,,,,,0,83,35,0,0,0,0,3845.03,18,WS,26.68,2.02,17094.82,127.96,1043.28,840.32
N5,LJ,FK05M2X01,3AXB1,PP,15,Y,S3-B,,0.66,1,67,4.64,ET,CU_MHM_METAL-FXM-MRT,KB480703,M1,LG61,PU6,ERVS,EBEMTL,9536,279.7,13283,285.9,15754,273.8,,225,927,32,48,83,383,686,14,18,48,,234,416,498,4,,,0,23,26,30,1,0,0,410.02,24,WG,178.8,1.62,71405.08,94.07,3166.02,2718.2
